clk,posX,posY,BodPosX,BodPosY
0,-0.024093494315180545,0.1105418632540829,100,0
31,-0.024124559189409898,0.11053508784054346,100,0
62,-0.02415562215830297,0.1105283036970409,100,0
93,-0.02418668321940642,0.11052151082411099,100,0
124,-0.024217742370267144,0.11051470922229026,100,0
155,-0.024248799608432035,0.11050789889211587,100,0
186,-0.02427985493144828,0.11050107983412571,100,0
217,-0.024310908336863106,0.11049425204885836,100,0
248,-0.024341959822224004,0.11048741553685303,100,0
279,-0.02437300938507849,0.11048057029864969,100,0
310,-0.024404057022974327,0.11047371633478896,100,0
341,-0.0244351027334594,0.11046685364581214,100,0
372,-0.024466146514081757,0.11045998223226132,100,0
403,-0.02449718836238956,0.11045310209467911,100,0
434,-0.024528228275931183,0.11044621323360893,100,0
465,-0.024559266252255095,0.11043931564959485,100,0
496,-0.024590302288909984,0.11043240934318165,100,0
527,-0.02462133638344458,0.11042549431491472,100,0
558,-0.024652368533407916,0.11041857056534032,100,0
589,-0.024683398736349046,0.11041163809500519,100,0
620,-0.02471442698981727,0.11040469690445688,100,0
651,-0.024745453291361953,0.11039774699424361,100,0
682,-0.024776477638532732,0.11039078836491426,100,0
713,-0.02480750002887928,0.11038382101701841,100,0
744,-0.0248385204599515,0.11037684495110635,100,0
775,-0.024869538929299415,0.11036986016772905,100,0
806,-0.02490055543447322,0.11036286666743812,100,0
837,-0.02493156997302326,0.11035586445078598,100,0
868,-0.02496258254250002,0.11034885351832557,100,0
899,-0.02499359314045418,0.11034183387061065,100,0
930,-0.025024601764436525,0.11033480550819565,100,0
961,-0.025055608411998043,0.11032776843163562,100,0
992,-0.025086613080689837,0.11032072264148636,100,0
1023,-0.025117615768063206,0.11031366813830433,100,0
1054,-0.025148616471669567,0.11030660492264674,100,0
1085,-0.025179615189060516,0.11029953299507135,100,0
1116,-0.0252106119177878,0.11029245235613674,100,0
1147,-0.025241606655403363,0.11028536300640215,100,0
1178,-0.025272599399459198,0.11027826494642747,100,0
1209,-0.02530359014750758,0.1102711581767733,100,0
1240,-0.025334578897100866,0.11026404269800093,100,0
1271,-0.025365565645791604,0.11025691851067233,100,0
1302,-0.025396550391132474,0.11024978561535015,100,0
1333,-0.02542753313067633,0.11024264401259776,100,0
1364,-0.025458513861976177,0.1102354937029792,100,0
1395,-0.02548949258258522,0.11022833468705918,100,0
1426,-0.025520469290056736,0.11022116696540313,100,0
1457,-0.025551443981944266,0.11021399053857711,100,0
1488,-0.025582416655801413,0.11020680540714796,100,0
1519,-0.02561338730918199,0.1101996115716831,100,0
1550,-0.025644355939639988,0.11019240903275075,100,0
1581,-0.0256753225447295,0.11018519779091974,100,0
1612,-0.025706287122004838,0.11017797784675959,100,0
1643,-0.025737249669020412,0.11017074920084055,100,0
1674,-0.02576821018333089,0.1101635118537335,100,0
1705,-0.025799168662490955,0.11015626580601007,100,0
1736,-0.02583012510405561,0.11014901105824255,100,0
1767,-0.02586107950557989,0.11014174761100386,100,0
1798,-0.025892031864619067,0.11013447546486774,100,0
1829,-0.025922982178728533,0.11012719462040847,100,0
1860,-0.02595393044546389,0.11011990507820112,100,0
1891,-0.025984876662380876,0.11011260683882139,100,0
1922,-0.026015820827035335,0.1101052999028457,100,0
1953,-0.02604676293698335,0.11009798427085117,100,0
1984,-0.026077702989781182,0.11009065994341553,100,0
2015,-0.026108640982985147,0.11008332692111732,100,0
2046,-0.026139576914151814,0.11007598520453561,100,0
2077,-0.026170510780837913,0.11006863479425029,100,0
2108,-0.0262014425806003,0.11006127569084191,100,0
2139,-0.026232372310995993,0.11005390789489163,100,0
